1 1 | 0 1 0 0 0 0 0 0 0 | - 3 - - - - - - - | 1 o o - - | 2 5
4 2 | 0 1 0 1 0 0 0 0 0 | - - 4 - - - - - - | 3 o o x - | 1 4
4 2 | 0 1 1 0 0 0 0 0 0 | 4 - - 4 - - - - - | 2 x x x - | 2 8
4 2 | 0 2 0 0 0 0 0 0 0 | - 2 - - - - - - - | 1 o o o - | 2 4
4 4 | 0 1 1 1 1 0 0 0 0 | - 3 - - 3 - - - - | 4 o o - - | 3 8
4 4 | 0 3 0 1 0 0 0 0 0 | - - 4 3 - - - - - | 3 o o - - | 3 9
4 4 | 0 3 1 0 0 0 0 0 0 | 4 - 3 4 - - - - - | 2 x x - - | 4 13
7 5 | 0 1 1 1 1 1 0 0 0 | 4 - - 3 - - 4 - - | 5 x x x - | 3 11
7 5 | 0 3 1 1 0 0 0 0 0 | - 1 - - 4 - - - - | 3 o x o - | 3 7
7 7 | 0 1 1 1 1 1 1 1 0 | - 3 - - 3 - - 3 - | 7 o o - - | 4 11
7 7 | 0 1 1 2 1 1 1 0 0 | 4 - - 2 - - 3 - - | 6 x o - - | 4 11
7 7 | 0 3 0 1 1 1 1 0 0 | - - 4 3 - - 3 - - | 6 o o - - | 4 12
7 7 | 0 3 1 1 1 0 1 0 0 | - - - - - 4 3 - - | 6 o o - - | 3 9
7 7 | 0 3 0 1 0 3 0 0 0 | - - 4 3 4 - - - - | 5 o o - - | 4 13
7 7 | 0 3 0 2 1 1 0 0 0 | - - 4 2 - - 4 - - | 5 o x - - | 4 12
7 7 | 0 1 3 1 1 1 0 0 0 | 4 3 - 3 - - 4 - - | 5 x x - - | 5 16
7 7 | 0 3 1 1 1 1 0 0 0 | 4 - 3 3 - 3 4 - - | 5 x x - - | 6 19
7 7 | 0 3 1 2 1 0 0 0 0 | - - 3 2 - 4 - - - | 4 o x - - | 4 11
7 7 | 0 1 4 1 1 0 0 0 0 | 4 3 - 3 3 - - - - | 4 x o - - | 5 15
7 7 | 0 3 2 1 1 0 0 0 0 | 4 - 2 3 - 4 - - - | 4 x x - - | 5 15
7 7 | 0 3 1 3 0 0 0 0 0 | 4 1 3 1 4 - - - - | 3 x x - - | 6 15
7 7 | 0 2 3 2 0 0 0 0 0 | - 2 1 2 - - - - - | 3 o o - - | 4 7
7 7 | 0 3 2 2 0 0 0 0 0 | - 1 2 2 4 - - - - | 3 o x - - | 5 11
7 7 | 0 4 1 2 0 0 0 0 0 | 4 - 3 2 - - - - - | 3 x o - - | 4 11
7 7 | 0 2 4 1 0 0 0 0 0 | 4 2 - 3 4 - - - - | 3 x x - - | 5 15
7 7 | 0 3 3 1 0 0 0 0 0 | - 1 1 3 4 - - - - | 3 o x - - | 5 11
10 8 | 0 3 1 1 1 1 1 0 0 | - 1 - - 3 - - 4 - | 6 o x o - | 4 10
10 8 | 0 1 1 4 1 1 0 0 0 | 4 - - 0 - - 4 - - | 5 x x o - | 3 10
10 8 | 0 2 2 2 2 0 0 0 0 | - 2 - - 2 - - - - | 4 o o o - | 3 6
10 8 | 0 3 3 2 0 0 0 0 0 | 4 - - 2 - - - - - | 3 x o o - | 3 8
10 10 | 0 3 0 1 1 1 1 0 3 | - - 4 3 - - 3 4 - | 8 o o - ? | 5 16
10 10 | 0 3 1 1 1 0 1 0 3 | - - - - - 4 3 4 - | 8 o o - ? | 4 13
10 10 | 0 1 1 1 3 1 1 1 1 | 4 - - 3 - 3 3 - 3 | 8 x o - ? | 6 18
10 10 | 0 3 1 1 1 1 1 1 1 | 4 - 3 3 - 3 3 - 3 | 8 x o - ? | 7 21
10 10 | 3 0 1 1 1 1 1 1 1 | - 4 3 - - 3 - - 3 | 9 o o - - | 5 15
10 10 | 3 1 1 1 0 1 1 1 1 | - - - - 4 3 - - 3 | 9 o o - - | 4 12
10 10 | 3 1 1 1 1 1 1 0 1 | - - - - - - - 4 3 | 9 o o - - | 3 9
10 10 | 3 0 1 1 1 1 0 3 0 | - 4 3 - - 3 4 - - | 8 o o - ? | 5 16
10 10 | 3 1 1 1 0 1 0 3 0 | - - - - 4 3 4 - - | 8 o o - ? | 4 13
10 10 | 0 3 1 1 1 1 2 1 0 | - - - - - 3 2 - 4 | 7 o x - - | 4 11
10 10 | 0 3 1 1 1 2 1 1 0 | 4 - 3 3 - 2 3 - 4 | 7 x x - - | 7 21
10 10 | 3 0 1 1 1 2 1 1 0 | - 4 3 - - 2 - - 4 | 8 o x - ? | 5 15
10 10 | 3 1 1 1 0 2 1 1 0 | - - - - 4 2 - - 4 | 8 o x - ? | 4 12
